id,review_text
1,"Очень вкусно! Заказали хинкали и хачапури по-аджарски. Хинкали сочные, тесто тонкое, а хачапури с яйцом - сказка поварам!"
2,"Зашел в ресторан случайно, но теперь буду ходить постоянно! Еда просто божественная, порции огромные, цены адекватные."
3,"Ужасное обслуживание. Официант грубил, ждали свой заказ 40 минут, а когда принесли - все было холодное. Больше сюда ни ногой."
4,"Средненько. Шашлык суховат, салат нормальный, но ничего особенного. За эти деньги можно найти лучше место."
5,"Лагман просто отпад! Суп наваристый, тесто свежее, мяса много. Повару респект. Обязательно вернусь сюда с друзьями."
6,"Не понравилось. Вообще не Кавказская кухня как заявлено. Плов какой-то не такой, мясо жесткое. Обслуживание тоже хромает."
7,"Цены высокие, но еда того стоит. Особенно понравился люля-кебаб - нежный и сочный. Интерьер красивый, музыка приятная."
8,"Пришли с семьей, все остались довольны. Суп харчо огонь, чебуреки хрустящие, детям очень зашло. Пятница вечером было шумновато."
9,"Не рекомендую. Отравление гарантировано. На следующий день после посещения у всей компании болел живот."
10,"Быстро и вкусно. Бизнес-ланч за 350 рублей - суп, салат, горячее и компот. Соотношение цена-качество отличное."
11,"Ожидал большего по таким ценам. Борщ кислый, вареники с картошкой недосоленные. В туалете грязно."
12,"Долго выбирали где поесть и не прогадали. Кухня супер, порции огромные, домашнее вино вкусное. Приятная атмосфера."
13,"Ужасно. Официанты даже не подошли первые 15 минут. Пришлось самим искать свободный столик. Еда пресная."
14,"Очень душевное место. Готовят как дома. Цены низкие, персонал приветливый. Часто заказываю доставку отсюда."
15,"Кухня средняя, но виды на город шикарные. Пришел ради веранды, а еда как в обычной столовой."
16,"Шаурма бомба! Сочно, много мяса, соус вкусный. Беру уже пятый раз и ни разу не разочаровался."
17,"Баранина жирная, отбивные пересушенные. Подача красивая, но на вкус не очень. Оценка 3 из 5."
18,"Отличное место для встречи с друзьями. Кальян хороший, пиво холодное, закуски вкусные. Музыка не громкая."
19,"Еда пришла через час после заказа. В зале было 3 столика всего. Пельмени полуготовые. Администратор извинялся, но осадок остался."
20,"Очень вкусный том ям! Острый, пряный, с большими креветками. Суши тоже свежие. Японская кухня тут на высоте."
